date;state;city;confirmed;deaths;order_for_place;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;region
2020-11-14;BA;Brejolândia;8;2;99;True;10618.0;2904407.0;75.34376;0.25;Nordeste
2020-11-14;BA;Brejões;105;1;154;True;14222.0;2904308.0;738.2927900000001;0.0095;Nordeste
2020-11-14;BA;Brotas de Macaúbas;4;0;158;True;10130.0;2904506.0;39.486670000000004;0.0;Nordeste
2020-11-14;BA;Brumado;2733;31;232;True;67335.0;2904605.0;4058.8104299999995;0.0113;Nordeste
2020-11-14;BA;Buerarema;563;21;208;True;18306.0;2904704.0;3075.49437;0.0373;Nordeste
2020-11-14;BA;Buritirama;361;6;165;True;21276.0;2904753.0;1696.7475100000001;0.0166;Nordeste
2020-11-14;BA;Caatiba;413;3;152;True;6488.0;2904803.0;6365.59803;0.0073;Nordeste
2020-11-14;BA;Cabaceiras do Paraguaçu;107;1;179;True;18911.0;2904852.0;565.80826;0.0093;Nordeste
2020-11-14;BA;Cachoeira;467;11;220;True;33567.0;2904902.0;1391.24736;0.0236;Nordeste
2020-11-14;BA;Caculé;95;2;165;True;23291.0;2905008.0;407.88287;0.0211;Nordeste
2020-11-14;BA;Caetanos;185;1;198;True;14608.0;2905156.0;1266.42935;0.0054;Nordeste
2020-11-14;BA;Caetité;242;5;175;True;51081.0;2905206.0;473.75737000000004;0.0207;Nordeste
2020-11-14;BA;Cafarnaum;301;4;137;True;18513.0;2905305.0;1625.8845099999999;0.0133;Nordeste
2020-11-14;BA;Cairu;471;6;182;True;18427.0;2905404.0;2556.03191;0.0127;Nordeste
2020-11-14;BA;Caldeirão Grande;158;1;199;True;13391.0;2905503.0;1179.89695;0.0063;Nordeste
2020-11-14;BA;Camacan;1561;32;214;True;32006.0;2905602.0;4877.2105200000005;0.0205;Nordeste
2020-11-14;BA;Camamu;850;24;198;True;35382.0;2905800.0;2402.3514800000003;0.0282;Nordeste
2020-11-14;BA;Camaçari;6665;134;235;True;304302.0;2905701.0;2190.2583600000003;0.0201;Nordeste
2020-11-14;BA;Campo Alegre de Lourdes;151;4;201;True;28820.0;2905909.0;523.94171;0.0265;Nordeste
2020-11-14;BA;Campo Formoso;1132;13;218;True;71487.0;2906006.0;1583.50469;0.0115;Nordeste
2020-11-14;BA;Canarana;361;3;230;True;26325.0;2906204.0;1371.32004;0.0083;Nordeste
2020-11-14;BA;Canavieiras;340;19;211;True;30906.0;2906303.0;1100.1100099999999;0.0559;Nordeste
2020-11-14;BA;Candeal;169;0;161;True;8181.0;2906402.0;2065.76213;0.0;Nordeste
2020-11-14;BA;Candeias;2729;63;224;True;87458.0;2906501.0;3120.35491;0.0231;Nordeste
